TVDSS,GR,NPHI,RHOB,DT,VCL,PHIE,target
2715.678,67.689,0.411,2.476,98.237,0.9612,0.0001,0.017
2721.6464,57.984,0.377,2.461,88.092,0.7922,0.0069,0.035
2728.7252,56.177,0.302,2.461,80.482,0.4515,0.0736,0.163
2729.5581,56.635,0.226,2.413,89.449,0.2551,0.1039,0.13
2730.3909,57.124,0.21,2.413,89.946,0.2578,0.1069,0.03
2740.1069,57.615,0.333,2.48,89.751,0.444,0.0849,0.236
2741.078,48.844,0.248,2.378,113.824,0.2277,0.136,0.325
2741.9093,52.068,0.216,2.407,117.228,0.2359,0.1169,0.134
2743.1562,50.083,0.221,2.432,112.7,0.4545,0.0379,0.026
2744.6801,48.844,0.206,2.429,120.633,0.2811,0.0985,0.132
2746.3426,55.507,0.22,2.453,127.314,0.3005,0.0904,0.389
2747.451,54.606,0.238,2.468,77.129,0.4001,0.062,0.107
2754.6552,49.848,0.239,2.501,88.29,0.4223,0.0487,0.021
2760.6126,71.842,0.391,2.496,102.059,0.934,0.0001,0.055
2219.1176,84.1938,0.2551,2.2228,90.7936,0.1319,0.2227,16.3
2222.721,81.6654,0.2495,2.2053,87.592,0.087,0.2415,6.9
2416.2091,59.4564,0.2263,2.3424,92.1953,0.2122,0.1429,589
2424.3078,63.3498,0.3264,2.2866,97.3619,0.3789,0.1464,418
2441.3383,74.1008,0.26,2.2447,81.8807,0.1535,0.205,682
2444.9513,79.3094,0.2437,2.2848,81.1084,0.1715,0.1781,1480
2449.2533,80.6402,0.1886,2.3034,79.7922,0.062,0.1887,379
2466.4405,59.2477,0.2734,2.2313,90.7791,0.1672,0.211,86.5
2479.1308,58.7903,0.2724,2.3146,86.2193,0.2859,0.1388,0.0008
2482.9378,52.9638,0.248,2.4,84.5529,0.3497,0.0758,0.102
2487.6663,55.6351,0.2293,2.3314,81.8031,0.2036,0.1447,0.116
2514.5279,54.0058,0.2408,2.3177,78.4407,0.2121,0.1508,0.104
2526.0584,64.2919,0.1784,2.3281,77.2908,0.0727,0.1722,1.39
2528.7104,59.563,0.2103,2.3159,77.8515,0.134,0.1673,2.49
2535.0491,51.2903,0.2439,2.3407,83.7562,0.2533,0.1297,0.0042
2545.6516,62.498,0.2023,2.3587,75.6854,0.1764,0.1339,0.0428
2549.4546,64.0062,0.1809,2.3903,71.2926,0.1694,0.1168,0.009
2568.8251,53.6945,0.1887,2.3646,75.3718,0.1513,0.1354,0.056
2573.9002,70.5528,0.1954,2.4058,73.455,0.2279,0.0961,0.021
